Año,Organismo Subsidiario,Número de derrames,Cantidad reportada (toneladas)
1999,PEMEX Exploración (PEP),763,"1,501.00"
,PEMEX Refinación (PR),93,"1,946.00"
,Total,856,"3,447.00"
2000,PEMEX Exploración (PEP),"1,428","1,097.00"
,PEMEX Refinación (PR),90,"5,155.00"
,Total,"1,518","6,252.00"
2001,PEMEX Exploración (PEP),455,"2,042.00"
,PEMEX Refinación (PR),68,"3,720.00"
,Total,523,"5,762.00"
2002,PEMEX Exploración (PEP),327,"2,224.00"
,PEMEX Refinación (PR),48,"17,581.00"
,PEMEX Gas y Petroquímica Básica (PGPB),2,2.00
,PEMEX Petroquímica (PPQ),1,0.00
,Total,378,"19,807.00"
2003,PEMEX Exploración (PEP),378,"1,296.00"
,PEMEX Refinación (PR),51,"3,525.00"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),2,3.00
,Total,431,"4,824.00"
2004,PEMEX Exploración (PEP),444,515.00
,PEMEX Refinación (PR),72,"4,961.00"
,PEMEX Gas y Petroquímica Básica (PGPB),1,2.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,517,"5,478.00"
2005,PEMEX Exploración (PEP),328,532.00
,PEMEX Refinación (PR),30,"1,735.00"
,PEMEX Gas y Petroquímica Básica (PGPB),1,54.00
,PEMEX Petroquímica (PPQ),0,0.01
,Total,359,"2,321.00"
2006,PEMEX Exploración (PEP),219,487.95
,PEMEX Refinación (PR),58,"2,944.96"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),0,0.01
,Total,277,"3,432.92"
2007,PEMEX Exploración (PEP),168,356.00
,PEMEX Refinación (PR),38,"1,083.00"
,Total,206,"1,439.00"
2008,PEMEX Exploración (PEP),133,204.00
,PEMEX Refinación (PR),38,"2,123.00"
,Total,171,"2,327.00"
2009,PEMEX Exploración (PEP),78,"1,495.00"
,PEMEX Refinación (PR),44,"63,837.00"
,PEMEX Petroquímica (PPQ),1,0.00
,Total,123,"65,332.00"
2010,PEMEX Exploración (PEP),38,499.00
,PEMEX Refinación (PR),32,"8,867.00"
,PEMEX Gas y Petroquímica Básica (PGPB),2,7.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,72,"9,373.00"
2011,PEMEX Exploración (PEP),40,502.00
,PEMEX Refinación (PR),66,"6,723.00"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,106,"7,225.00"
2012,PEMEX Exploración (PEP),56,45.00
,PEMEX Refinación (PR),126,"48,552.00"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,182,"48,597.00"
2013,PEMEX Exploración (PEP),44,248.00
,PEMEX Refinación (PR),161,"40,188.00"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,205,"40,436.00"
2014,PEMEX Exploración (PEP),17,768.83
,PEMEX Refinación (PR),415,"136,854.84"
,PEMEX Gas y Petroquímica Básica (PGPB),0,0.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,432,"137,623.66"
2015,PEMEX Exploración (PEP),29,15.41
,PEMEX Refinación (PR),746,"463,517.00"
,PEMEX Gas y Petroquímica Básica (PGPB),7,428.00
,PEMEX Petroquímica (PPQ),0,0.00
,Total,782,"463,960.00"
2016,"EPS, PEMEX Exploración y Producción",41,25.00
,"EPS, PEMEX Transformación industrial",0,0.00
,"EPS, PEMEX Perforación y Servicios",0,0.00
,"EPS, PEMEX Etileno",0,0.00
,"EPS, PEMEX Fertilizantes",0,0.00
,"EPS, PEMEX Logística 
",872,"53,561.00"
,Total,913,"53,586.00"
2017,"EPS, PEMEX Exploración y Producción",20,28.00
,"EPS, PEMEX Transformación industrial",1,0.00
,"EPS, PEMEX Perforación y Servicios",0,0.00
,"EPS, PEMEX Etileno",0,0.00
,"EPS, PEMEX Fertilizantes",0,0.00
,"EPS, PEMEX Logística 
",509,"17,434.00"
,Total,530,"17,462.00"
2018,"EPS, PEMEX Exploración y Producción",436,93.00
,"EPS, PEMEX Transformación industrial",15,1.00
,"EPS, PEMEX Perforación y Servicios",3,0.00
,"EPS, PEMEX Etileno",0,0.00
,"EPS, PEMEX Fertilizantes",0,0.00
,"EPS, PEMEX Logística 
",93,82.00
,Total,547,176.00
2019,"EPS, PEMEX Exploración y Producción",582,198.71
,"EPS, PEMEX Transformación industrial",23,0.33
,"EPS, PEMEX Perforación y Servicios",3,0.57
,"EPS, PEMEX Etileno",0,0.00
,"EPS, PEMEX Fertilizantes",0,0.00
,"EPS, PEMEX Logística 
",172,45.78
,Total,780,245.38
2020,"EPS, PEMEX Exploración y Producción",536,"1,510.54"
,"EPS, PEMEX Transformación industrial",54,9.18
,"EPS, PEMEX Fertilizantes",0,0.00
,"EPS, PEMEX Logística 
",102,25.12
,Total,692,"1,544.84"
